"","X","Tag.ID","HoursFromConcRounded","MinCorr","Temp","concDate","minsFromConcRounded","DT","altMinsFrom","Tag.ID_167DB5CB","HoursFromConcRounded_167DB5CB","MinCorr_167DB5CB","Temp_167DB5CB","concDate_167DB5CB","minsFromConcRounded_167DB5CB","DT_167DB5CB","Tag.ID_167DC76A","HoursFromConcRounded_167DC76A","MinCorr_167DC76A","Temp_167DC76A","concDate_167DC76A","minsFromConcRounded_167DC76A","DT_167DC76A","Tag.ID_16804A25","HoursFromConcRounded_16804A25","MinCorr_16804A25","Temp_16804A25","concDate_16804A25","minsFromConcRounded_16804A25","DT_16804A25","Tag.ID_167F8B96","HoursFromConcRounded_167F8B96","MinCorr_167F8B96","Temp_167F8B96","concDate_167F8B96","minsFromConcRounded_167F8B96","DT_167F8B96","Tag.ID_167DAA18","HoursFromConcRounded_167DAA18","MinCorr_167DAA18","Temp_167DAA18","concDate_167DAA18","minsFromConcRounded_167DAA18","DT_167DAA18","Tag.ID_167DBF7D","HoursFromConcRounded_167DBF7D","MinCorr_167DBF7D","Temp_167DBF7D","concDate_167DBF7D","minsFromConcRounded_167DBF7D","DT_167DBF7D","Tag.ID_2653D43A","HoursFromConcRounded_2653D43A","MinCorr_2653D43A","Temp_2653D43A","concDate_2653D43A","minsFromConcRounded_2653D43A","DT_2653D43A","Tag.ID_167E7AB1","HoursFromConcRounded_167E7AB1","MinCorr_167E7AB1","Temp_167E7AB1","concDate_167E7AB1","minsFromConcRounded_167E7AB1","DT_167E7AB1","N","avgTemp","SD","SE","lowCI","highCI"
"1",1,"167DD2DA",-83,0,37.3,"2023-01-31",-4972,"2023-01-27 13:08:34",-4980,"167DB5CB",-83,0,36.3,"2023-03-06",-4980,"2023-03-02 13:00:50","167DC76A",-83,0,35.9,"2023-03-04",-4980,"2023-02-28 13:00:28","16804A25",-83,0,35.9,"2023-03-04",-4979,"2023-02-28 13:01:30","167F8B96",-83,0,36.8,"2023-03-04",-4980,"2023-02-28 13:00:34","167DAA18",-83,0,36.4,"2023-03-05",-4980,"2023-03-01 13:00:01","167DBF7D",-83,0,36.7,"2023-03-06",-4980,"2023-03-02 13:00:11","2653D43A",-83,0,36.6,"2023-02-01",-4977,"2023-01-28 13:03:43","167E7AB1",-83,0,36.9,"2023-02-15",-4973,"2023-02-11 13:07:28",9,36.5333333333333,0.460977222864644,0.153659074288215,35.6344277487473,37.4322389179194
"2",2,"167DD2DA",-83,20,36.3,"2023-01-31",-4959,"2023-01-27 13:21:02",-4960,"167DB5CB",-83,20,36.7,"2023-03-06",-4960,"2023-03-02 13:20:17","167DC76A",-83,20,35.8,"2023-03-04",-4959,"2023-02-28 13:21:22","16804A25",-83,20,36.2,"2023-03-04",-4948,"2023-02-28 13:32:13","167F8B96",-83,20,36.7,"2023-03-04",-4959,"2023-02-28 13:21:37","167DAA18",-83,20,36.4,"2023-03-05",-4960,"2023-03-01 13:20:05","167DBF7D",-83,20,36.7,"2023-03-06",-4960,"2023-03-02 13:20:37","2653D43A",-83,20,35.9,"2023-02-01",-4959,"2023-01-28 13:21:51","167E7AB1",-83,20,36.9,"2023-02-15",-4955,"2023-02-11 13:25:57",9,36.4,0.384057287393432,0.128019095797811,35.6510882895828,37.1489117104172
"3",3,"167DD2DA",-83,40,35.7,"2023-01-31",-4940,"2023-01-27 13:40:27",-4940,"167DB5CB",-83,40,37.1,"2023-03-06",-4940,"2023-03-02 13:40:01","167DC76A",-83,40,36.1,"2023-03-04",-4940,"2023-02-28 13:40:40","16804A25",-83,40,36.2,"2023-03-04",-4937,"2023-02-28 13:43:21","167F8B96",-83,40,36.7,"2023-03-04",-4940,"2023-02-28 13:40:55","167DAA18",-83,40,36.3,"2023-03-05",-4940,"2023-03-01 13:40:56","167DBF7D",-83,40,36.3,"2023-03-06",-4940,"2023-03-02 13:40:21","2653D43A",-83,40,35.8,"2023-02-01",-4940,"2023-01-28 13:40:39","167E7AB1",-83,40,36.6,"2023-02-15",-4936,"2023-02-11 13:44:31",9,36.3111111111111,0.44001262608147,0.14667087536049,35.4530864902522,37.16913573197
"4",4,"167DD2DA",-82,0,36.3,"2023-01-31",-4916,"2023-01-27 14:04:55",-4920,"167DB5CB",-82,0,36.5,"2023-03-06",-4920,"2023-03-02 14:00:23","167DC76A",-82,0,35.7,"2023-03-04",-4920,"2023-02-28 14:00:41","16804A25",-82,0,36,"2023-03-04",-4916,"2023-02-28 14:04:31","167F8B96",-82,0,36.8,"2023-03-04",-4920,"2023-02-28 14:00:55","167DAA18",-82,0,36.5,"2023-03-05",-4920,"2023-03-01 14:00:01","167DBF7D",-82,0,36.4,"2023-03-06",-4920,"2023-03-02 14:00:35","2653D43A",-82,0,36,"2023-02-01",-4916,"2023-01-28 14:04:36","167E7AB1",-82,0,36.6,"2023-02-15",-4918,"2023-02-11 14:02:17",9,36.3111111111111,0.348010216963684,0.116003405654561,35.6324911880319,36.9897310341903
"5",5,"167DD2DA",-82,20,35.6,"2023-01-31",-4900,"2023-01-27 14:20:17",-4900,"167DB5CB",-82,20,36.7,"2023-03-06",-4894,"2023-03-02 14:26:38","167DC76A",-82,20,36.2,"2023-03-04",-4900,"2023-02-28 14:20:12","16804A25",-82,20,36.1,"2023-03-04",-4900,"2023-02-28 14:20:14","167F8B96",-82,20,36.7,"2023-03-04",-4900,"2023-02-28 14:20:27","167DAA18",-82,20,36.5,"2023-03-05",-4900,"2023-03-01 14:20:07","167DBF7D",-82,20,36.4,"2023-03-06",-4899,"2023-03-02 14:21:16","2653D43A",-82,20,36,"2023-02-01",-4900,"2023-01-28 14:20:51","167E7AB1",-82,20,36.6,"2023-02-15",-4900,"2023-02-11 14:20:54",9,36.3111111111111,0.368932393686311,0.122977464562104,35.5916929434228,37.0305292787994
"6",6,"167DD2DA",-82,40,35.6,"2023-01-31",-4879,"2023-01-27 14:41:22",-4880,"167DB5CB",-82,40,36.6,"2023-03-06",-4879,"2023-03-02 14:41:56","167DC76A",-82,40,36,"2023-03-04",-4880,"2023-02-28 14:40:52","16804A25",-82,40,36.2,"2023-03-04",-4880,"2023-02-28 14:40:57","167F8B96",-82,40,36.7,"2023-03-04",-4879,"2023-02-28 14:41:10","167DAA18",-82,40,36.4,"2023-03-05",-4880,"2023-03-01 14:40:07","167DBF7D",-82,40,36.2,"2023-03-06",-4880,"2023-03-02 14:40:59","2653D43A",-82,40,36.1,"2023-02-01",-4879,"2023-01-28 14:41:26","167E7AB1",-82,40,36.6,"2023-02-15",-4879,"2023-02-11 14:41:45",9,36.2666666666667,0.35,0.116666666666667,35.5841666666667,36.9491666666667
"7",7,"167DD2DA",-81,0,35.7,"2023-01-31",-4859,"2023-01-27 15:01:07",-4860,"167DB5CB",-81,0,36.4,"2023-03-06",-4859,"2023-03-02 15:01:35","167DC76A",-81,0,36.1,"2023-03-04",-4859,"2023-02-28 15:01:07","16804A25",-81,0,36.5,"2023-03-04",-4849,"2023-02-28 15:11:55","167F8B96",-81,0,36.8,"2023-03-04",-4859,"2023-02-28 15:01:21","167DAA18",-81,0,36.4,"2023-03-05",-4860,"2023-03-01 15:00:08","167DBF7D",-81,0,36.5,"2023-03-06",-4860,"2023-03-02 15:00:55","2653D43A",-81,0,35.8,"2023-02-01",-4855,"2023-01-28 15:05:33","167E7AB1",-81,0,36.8,"2023-02-15",-4860,"2023-02-11 15:00:08",9,36.3333333333333,0.393700393700589,0.131233464566863,35.5656175656172,37.1010491010495
"8",8,"167DD2DA",-81,20,35.7,"2023-01-31",-4839,"2023-01-27 15:21:20",-4840,"167DB5CB",-81,20,36.3,"2023-03-06",-4840,"2023-03-02 15:20:02","167DC76A",-81,20,36,"2023-03-04",-4840,"2023-02-28 15:20:14","16804A25",-81,20,36.2,"2023-03-04",-4834,"2023-02-28 15:26:52","167F8B96",-81,20,36.7,"2023-03-04",-4840,"2023-02-28 15:20:28","167DAA18",-81,20,36.3,"2023-03-05",-4840,"2023-03-01 15:20:31","167DBF7D",-81,20,37.1,"2023-03-06",-4840,"2023-03-02 15:20:22","2653D43A",-81,20,35.8,"2023-02-01",-4839,"2023-01-28 15:21:24","167E7AB1",-81,20,36.7,"2023-02-15",-4839,"2023-02-11 15:21:33",9,36.3111111111111,0.456739653534825,0.152246551178275,35.4204687867182,37.201753435504
"9",9,"167DD2DA",-81,40,35.8,"2023-01-31",-4819,"2023-01-27 15:41:22",-4820,"167DB5CB",-81,40,37.3,"2023-03-06",-4820,"2023-03-02 15:40:03","167DC76A",-81,40,36.2,"2023-03-04",-4820,"2023-02-28 15:40:43","16804A25",-81,40,36.3,"2023-03-04",-4820,"2023-02-28 15:40:46","167F8B96",-81,40,36.8,"2023-03-04",-4820,"2023-02-28 15:40:50","167DAA18",-81,40,36.5,"2023-03-05",-4820,"2023-03-01 15:40:26","167DBF7D",-81,40,37.1,"2023-03-06",-4820,"2023-03-02 15:40:33","2653D43A",-81,40,36,"2023-02-01",-4807,"2023-01-28 15:53:30","167E7AB1",-81,40,36.7,"2023-02-15",-4819,"2023-02-11 15:41:39",9,36.5222222222222,0.499444135459057,0.166481378486352,35.5483061580771,37.4961382863674
"10",10,"167DD2DA",-80,0,35.7,"2023-01-31",-4799,"2023-01-27 16:01:22",-4800,"167DB5CB",-80,0,37.1,"2023-03-06",-4800,"2023-03-02 16:00:59","167DC76A",-80,0,35.9,"2023-03-04",-4800,"2023-02-28 16:00:02","16804A25",-80,0,36.1,"2023-03-04",-4800,"2023-02-28 16:00:04","167F8B96",-80,0,36.6,"2023-03-04",-4800,"2023-02-28 16:00:08","167DAA18",-80,0,36.2,"2023-03-05",-4800,"2023-03-01 16:00:22","167DBF7D",-80,0,36.8,"2023-03-06",-4800,"2023-03-02 16:00:00","2653D43A",-80,0,36.1,"2023-02-01",-4798,"2023-01-28 16:02:33","167E7AB1",-80,0,37.4,"2023-02-15",-4799,"2023-02-11 16:01:26",9,36.4333333333333,0.574456264653802,0.191485421551267,35.3131436172584,37.5535230494082
"11",11,"167DD2DA",-80,20,36.1,"2023-01-31",-4779,"2023-01-27 16:21:54",-4780,"167DB5CB",-80,20,36.9,"2023-03-06",-4780,"2023-03-02 16:20:20","167DC76A",-80,20,36,"2023-03-04",-4780,"2023-02-28 16:20:04","16804A25",-80,20,36.2,"2023-03-04",-4780,"2023-02-28 16:20:06","167F8B96",-80,20,36.6,"2023-03-04",-4780,"2023-02-28 16:20:10","167DAA18",-80,20,36.1,"2023-03-05",-4780,"2023-03-01 16:20:52","167DBF7D",-80,20,36.5,"2023-03-06",-4780,"2023-03-02 16:20:32","2653D43A",-80,20,36.1,"2023-02-01",-4779,"2023-01-28 16:21:07","167E7AB1",-80,20,37.8,"2023-02-15",-4779,"2023-02-11 16:21:42",9,36.4777777777778,0.578311719096581,0.192770573032194,35.3500699255395,37.6054856300161
"12",12,"167DD2DA",-80,40,36,"2023-01-31",-4759,"2023-01-27 16:41:37",-4760,"167DB5CB",-80,40,36.3,"2023-03-06",-4760,"2023-03-02 16:40:26","167DC76A",-80,40,36,"2023-03-04",-4760,"2023-02-28 16:40:50","16804A25",-80,40,36.2,"2023-03-04",-4760,"2023-02-28 16:40:52","167F8B96",-80,40,36.6,"2023-03-04",-4760,"2023-02-28 16:40:57","167DAA18",-80,40,36.2,"2023-03-05",-4760,"2023-03-01 16:40:15","167DBF7D",-80,40,36.4,"2023-03-06",-4760,"2023-03-02 16:40:38","2653D43A",-80,40,36.2,"2023-02-01",-4755,"2023-01-28 16:45:47","167E7AB1",-80,40,37.7,"2023-02-15",-4759,"2023-02-11 16:41:16",9,36.4,0.522015325445528,0.174005108481843,35.3820701153812,37.4179298846188
"13",13,"167DD2DA",-79,0,36.4,"2023-01-31",-4740,"2023-01-27 17:00:52",-4740,"167DB5CB",-79,0,36.2,"2023-03-06",-4740,"2023-03-02 17:00:26","167DC76A",-79,0,36,"2023-03-04",-4740,"2023-02-28 17:00:46","16804A25",-79,0,36.8,"2023-03-04",-4738,"2023-02-28 17:02:09","167F8B96",-79,0,36.5,"2023-03-04",-4740,"2023-02-28 17:00:52","167DAA18",-79,0,36.5,"2023-03-05",-4740,"2023-03-01 17:00:13","167DBF7D",-79,0,36.3,"2023-03-06",-4740,"2023-03-02 17:00:55","2653D43A",-79,0,36.2,"2023-02-01",-4739,"2023-01-28 17:01:36","167E7AB1",-79,0,37.3,"2023-02-15",-4739,"2023-02-11 17:01:27",9,36.4666666666667,0.38729833462074,0.12909944487358,35.7114349141562,37.2218984191771
