"","Tag.ID","DaysFromConcRounded","minTemp","maxTemp","concDate","DT"
"1","167E7AB1",-19,36.2,38.6,2023-02-15,2023-01-27 13:09:59
"2","167E7AB1",-18,36,38.7,2023-02-15,2023-01-28 00:01:47
"3","167E7AB1",-17,36.2,39,2023-02-15,2023-01-29 00:00:54
"4","167E7AB1",-16,36.1,39.5,2023-02-15,2023-01-30 00:00:04
"5","167E7AB1",-15,36,39.1,2023-02-15,2023-01-31 00:00:15
"6","167E7AB1",-14,36.1,39.5,2023-02-15,2023-02-01 00:00:15
"7","167E7AB1",-13,36.2,39.1,2023-02-15,2023-02-02 00:01:10
"8","167E7AB1",-12,36.2,38.9,2023-02-15,2023-02-03 00:00:10
"9","167E7AB1",-11,36.1,38.8,2023-02-15,2023-02-04 00:00:14
"10","167E7AB1",-10,36.5,38.8,2023-02-15,2023-02-05 00:01:24
"11","167E7AB1",-9,36.6,38.8,2023-02-15,2023-02-06 00:00:43
"12","167E7AB1",-8,36.6,38.8,2023-02-15,2023-02-07 00:01:43
"13","167E7AB1",-7,36.6,38.7,2023-02-15,2023-02-08 00:01:11
"14","167E7AB1",-6,37,38.8,2023-02-15,2023-02-09 00:00:19
"15","167E7AB1",-5,36.5,38.8,2023-02-15,2023-02-10 09:45:39
"16","167E7AB1",-4,36.3,38.5,2023-02-15,2023-02-11 00:00:11
"17","167E7AB1",-3,36.1,38.7,2023-02-15,2023-02-12 00:01:01
"18","167E7AB1",-2,35.8,38.6,2023-02-15,2023-02-13 00:05:26
"19","167E7AB1",-1,35.6,38.7,2023-02-15,2023-02-14 00:01:31
"20","167E7AB1",0,36,39.6,2023-02-15,2023-02-15 00:06:04
"21","167E7AB1",1,36.1,38.6,2023-02-15,2023-02-16 00:05:52
"22","167E7AB1",2,36.6,38.5,2023-02-15,2023-02-17 00:01:35
"23","167E7AB1",3,36.6,38.5,2023-02-15,2023-02-18 00:04:28
"24","167E7AB1",4,36.5,38.4,2023-02-15,2023-02-19 00:03:51
"25","167E7AB1",5,36.4,38.2,2023-02-15,2023-02-20 00:05:17
"26","167DD2DA",-4,35.6,38,2023-01-31,2023-01-27 13:08:34
"27","167DD2DA",-3,35.7,38.3,2023-01-31,2023-01-28 00:04:00
"28","167DD2DA",-2,35.1,38.2,2023-01-31,2023-01-29 00:01:19
"29","167DD2DA",-1,35,38.8,2023-01-31,2023-01-30 00:00:29
"30","167DD2DA",0,35.6,38.4,2023-01-31,2023-01-31 00:02:29
"31","167DD2DA",1,35.5,38.9,2023-01-31,2023-02-01 00:02:17
"32","167DD2DA",2,35.9,38.3,2023-01-31,2023-02-02 00:01:35
"33","167DD2DA",3,35.9,38.2,2023-01-31,2023-02-03 00:11:45
"34","167DD2DA",4,36.1,38.4,2023-01-31,2023-02-04 00:00:42
"35","167DD2DA",5,36.1,38.4,2023-01-31,2023-02-05 00:00:04
"36","167DD2DA",6,36,38.5,2023-01-31,2023-02-06 00:02:56
"37","167DD2DA",7,35.7,38.4,2023-01-31,2023-02-07 00:00:24
"38","167DD2DA",8,36.1,38.5,2023-01-31,2023-02-08 00:01:37
"39","167DD2DA",9,36.2,38.5,2023-01-31,2023-02-09 00:00:44
"40","167DD2DA",10,35.9,38.4,2023-01-31,2023-02-10 09:44:17
"41","167DD2DA",11,36.1,38.4,2023-01-31,2023-02-11 00:02:21
"42","167DD2DA",12,36,38.3,2023-01-31,2023-02-12 00:01:26
"43","167DD2DA",13,36.5,38.3,2023-01-31,2023-02-13 00:00:18
"44","167DD2DA",14,36.3,38.2,2023-01-31,2023-02-14 00:05:00
"45","167DD2DA",15,36.1,38.3,2023-01-31,2023-02-15 00:03:53
"46","167DD2DA",16,36,38.4,2023-01-31,2023-02-16 00:09:11
"47","167DD2DA",17,36.5,38.3,2023-01-31,2023-02-17 00:02:09
"48","167DD2DA",18,36.4,38.1,2023-01-31,2023-02-18 00:10:52
"49","167DD2DA",19,36.2,38.1,2023-01-31,2023-02-19 00:04:25
"50","167DD2DA",20,36.2,38,2023-01-31,2023-02-20 00:03:15
"51","2653D43A",-5,35.9,38.7,2023-02-01,2023-01-27 13:07:50
"52","2653D43A",-4,35.6,38.8,2023-02-01,2023-01-28 00:03:27
"53","2653D43A",-3,35.4,38.9,2023-02-01,2023-01-29 00:02:22
"54","2653D43A",-2,35.6,39.2,2023-02-01,2023-01-30 00:01:34
"55","2653D43A",-1,35.6,38.9,2023-02-01,2023-01-31 00:01:52
"56","2653D43A",0,36.3,39.3,2023-02-01,2023-02-01 00:05:22
"57","2653D43A",1,35.9,39.1,2023-02-01,2023-02-02 00:01:02
"58","2653D43A",2,36.5,38.7,2023-02-01,2023-02-03 00:00:03
"59","2653D43A",3,36.5,38.6,2023-02-01,2023-02-04 00:00:08
"60","2653D43A",4,36.5,38.6,2023-02-01,2023-02-05 00:01:16
"61","2653D43A",5,36.6,38.6,2023-02-01,2023-02-06 00:00:35
"62","2653D43A",6,36.4,38.6,2023-02-01,2023-02-07 00:01:35
"63","2653D43A",7,36.7,38.7,2023-02-01,2023-02-08 00:01:03
"64","2653D43A",8,37.1,39,2023-02-01,2023-02-09 00:00:03
"65","2653D43A",9,36.7,39.3,2023-02-01,2023-02-10 09:41:56
"66","2653D43A",10,36.7,38.8,2023-02-01,2023-02-11 00:01:49
