Population,Pair ID,Set-upDate,FirstLitterDOB,Time to Preg,,,,,,,,,,,,,,,,,,,,
KN,K-CSUK-5B,11/15/22,12/8/22,1,,,,,,,,,,,,,,,,,,,,
KN,K-CSUK-5C,11/15/22,12/9/22,2,,,,,,,,,,,,,,,,,,,,
KN,K-CSUK-5F,11/15/22,12/9/22,2,,,,,,,,,,,,,,,,,,,,
KN,K-CSUK-5D,11/15/22,12/10/22,3,,,,,,,,,,,,,,,,,,,,
KN,K-CSUK-5K,11/15/22,12/10/22,3,,,,,,,,,,,,,,,,,,,,
KN,K-CSUK-5A,11/15/22,12/18/22,11,,,,,,,,,,,,,,,,,,,,
KN,K-CSUK-5I,11/15/22,12/22/22,15,,,,,,,,,,,,,,,,,,,,
KN,K-CSUK-5M,11/15/22,1/8/23,32,,,,,,,,,,,,,,,,,,,,
KN,K-CSUK-5L,11/15/22,1/11/23,35,,,,,,,,,,,,,,,,,,,,
KN,K-CSUK-5G,11/15/22,1/17/23,41,,,,,,,,,,,,,,,,,,,,
KN,PT-B5,1/30/23,2/23/23,2,,,,,,,,,,,,,,,,,,,,
KN,PT-B1,1/30/23,2/24/23,3,,,,,,,,,,,,,,,,,,,,
KN,CSU-K1A,4/3/24,4/28/24,3,,,,,,,,,,,,,,,,,,,,
KN,CSU-K1C,4/3/24,4/29/24,4,,,,,,,,,,,,,,,,,,,,
KN,CSU-K1G,4/16/24,5/12/24,4,,,,,,,,,,,,,,,,,,,,
KN,CSU-K1M,5/6/24,5/30/24,2,,,,,,,,,,,,,,,,,,,,
KN,CSU-K1P,5/27/24,6/20/24,2,,,,,,,,,,,,,,,,,,,,
KN,CSU-K1N,5/27/24,6/21/24,3,,,,,,,,,,,,,,,,,,,,
KN,CSU-K1O,5/27/24,6/21/24,3,,,,,,,,,,,,,,,,,,,,
KN,CSU-K1T,6/5/24,7/14/24,17,,,,,,,,,,,,,,,,,,,,
KN,CSU-K1V,6/13/24,7/17/24,12,,,,,,,,,,,,,,,,,,,,
KN,CSU-K1Z,6/21/24,7/15/24,2,,,,,,,,,,,,,,,,,,,,
KN,CSU-K1AA,6/24/24,7/19/24,3,,,,,,,,,,,,,,,,,,,,
KN,CSU-K1AD,6/26/24,7/20/24,2,,,,,,,,,,,,,,,,,,,,
KN,CSU-K1AC,6/26/24,8/2/24,15,,,,,,,,,,,,,,,,,,,,
KN,CSU-K1AF,6/28/24,7/24/24,4,,,,,,,,,,,,,,,,,,,,
KN,CSU-K1AG,7/29/24,8/22/24,2,,,,,,,,,,,,,,,,,,,,
KN,CSU-K2C,8/3/24,8/28/24,3,,,,,,,,,,,,,,,,,,,,
KN,CSU-K2A,8/3/24,8/29/24,4,,,,,,,,,,,,,,,,,,,,
KN,CSU-K2D,8/3/24,9/4/24,10,,,,,,,,,,,,,,,,,,,,
KN,CSU-K2B,8/3/24,9/16/24,22,,,,,,,,,,,,,,,,,,,,
KN,CSU-K2I,9/23/24,10/17/24,2,,,,,,,,,,,,,,,,,,,,
KN,CSU-K2H,9/23/24,10/18/24,3,,,,,,,,,,,,,,,,,,,,
KN,CSU-K2K,9/23/24,10/18/24,3,,,,,,,,,,,,,,,,,,,,
KN,CSU-K2G,9/23/24,10/21/24,6,,,,,,,,,,,,,,,,,,,,
KN,KQ424-A,10/23/24,11/15/24,1,,,,,,,,,,,,,,,,,,,,
KN,KQ424-C,10/23/24,11/16/24,2,,,,,,,,,,,,,,,,,,,,
