Maternal ID,Pair ID,Thelier Stage,Day of Gestation,Slide ID,Process # ,ROI Label,Cyto Lining Decidual Vasculature?,>90% Cyto Coverage?,ZO-1 Collar?,"Has ""classic"" collar?",Vasculature+Collar Area,Vasculature Area,Collar Area,Mcherry Collar Intensity V+BA_Int,Mcherry Collar Intensity V+BA_Raw,Mcherry Collar Intensity VA_Int,Mcherry Collar Intensity VA_Raw,Mcherry Collar Intensity BA_Int,Mcherry Collar Intensity BA_Raw,GFP Collar Intensity V+BA_Int,GFP Collar Intensity V+BA_Raw,GFP Collar Intensity VA_Int,GFP Collar Intensity VA_Raw,GFP Collar Intensity BA_Int,GFP Collar Intensity BA_Int,Notes/Observations,
KG4H1,KSCUKH,13-Dec,10.5,1.7A,1971,X,,,,,,,,,,,,0,0,,,,,0,0,*No cavity *Edge of implantation site? *No vasculature,
KG4H1,KSCUKH,13-Dec,10.5,1.7A,1972,X,,,,,,,,,,,,0,0,,,,,0,0,,
KG4H1,KSCUKH,13-Dec,10.5,1.7A,2185,X,,,,,,,,,,,,0,0,,,,,0,0,,
KG4H1,KSCUKH,13-Dec,10.5,3.7B,2208,X,,,,,,,,,,,,0,0,,,,,0,0,,
KG4H1,KSCUKH,13-Dec,10.5,3.7B,2209,X,,,,,,,,,,,,0,0,,,,,0,0,,
KG4H1,KSCUKH,13-Dec,10.5,3.7B,2211,X,,,,,,,,,,,,0,0,,,,,0,0,,
KG4I1,KCSUKI,14-15,11.5,1.7B,2035,X,,,,,,,,,,,,0,0,,,,,0,0,*No vasculature *glands,
KG4I1,KCSUKI,14-15,11.5,1.7B,2037,X,,,,,,,,,,,,0,0,,,,,0,0,*No vasculature *glands,
KG4I1,KCSUKI,14-15,11.5,1.7B,2039,X,,,,,,,,,,,,0,0,,,,,0,0,*No vasculature *glands,
KG4I1,KCSUKI,14-15,11.5,2.7B,2063,X,,,,,,,,,,,,0,0,,,,,0,0,*No vasculature *glands,
KG4I1,KCSUKI,14-15,11.5,2.7B,2065,X,,,,,,,,,,,,0,0,,,,,0,0,*No vasculature *glands,
KG4I1,KCSUKI,14-15,11.5,2.7B,2067,X,,,,,,,,,,,,0,0,,,,,0,0,*No vasculature *glands,
KG5H1,KCSUK5D,16-17,12.5,1.5A,1967,X,,,,,,,,,,,,0,0,,,,,0,0,*No vasculature *glands,
KG5H1,KCSUK5D,16-17,12.5,1.5A,1968,X,,,,,,,,,,,,0,0,,,,,0,0,*No vasculature *glands,
KG5H1,KCSUK5D,16-17,12.5,1.5A,1970,X,,,,,,,,,,,,0,0,,,,,0,0,*No vasculature *glands,
KG5H1,KCSUK5D,16-17,12.5,3.5D,2047,X,,,,,,,,,,,,0,0,,,,,0,0,*No vasculature *glands,
KG5H1,KCSUK5D,16-17,12.5,3.5D,2157,X,,,,,,,,,,,,0,0,,,,,0,0,*No vasculature *glands,
KG5H1,KCSUK5D,16-17,12.5,3.5D,2158,X,,,,,,,,,,,,0,0,,,,,0,0,*No vasculature *glands,
KG5P3,KCSUK5O,16-17,12.5,1.8A,1976,X,,,,,,,,,,,,0,0,,,,,0,0,*No vasculature *glands,
KG5P3,KCSUK5O,16-17,12.5,1.8A,1979,X,,,,,,,,,,,,0,0,,,,,0,0,*No vasculature *glands,
KG5P3,KCSUK5O,16-17,12.5,1.8A,2186,X,,,,,,,,,,,,0,0,,,,,0,0,*No vasculature *glands,
KG5P3,KCSUK5O,16-17,12.5,2.8A,2149,X,,,,,,,,,,,,0,0,,,,,0,0,*No vasculature *glands,
KG5P3,KCSUK5O,16-17,12.5,2.8A,2150,X,,,,,,,,,,,,0,0,,,,,0,0,*No vasculature *glands,
KG5P3,KCSUK5O,16-17,12.5,2.8A,2152,X,,,,,,,,,,,,0,0,,,,,0,0,*No vasculature *glands,
KG4N1,KCSUKN,18-19,13.5,1.7G,2030,V1,1,0,1,0,8981.107,731.251,8249.856,1221979.761,2899327,19275.094,45733,1202704.667,2853594,374240.198,887940,9209.966,21852,365030.232,866088,*band is not very defined but swirls,
KG4N1,KCSUKN,18-19,13.5,1.7G,2030,V2,1,1,1,1,19943.967,1287.591,18656.376,2788251.737,6615538,39733.676,94274,2748518.061,6521264,759929.631,1803045,20055.657,47585,739873.974,1755460,*continuation of a piece of vasculature that resides in the JZ (cut at a slant),
KG4N1,KCSUKN,18-19,13.5,1.7G,2030,V3,1,0,0,0,,2573.075,0,,,,,0,0,,,,,0,0,,
KG4N1,KCSUKN,18-19,13.5,1.7G,2030,V4,0,0,0,0,,572.778,0,,,,,0,0,,,,,0,0,,
KG4N1,KCSUKN,18-19,13.5,1.7G,2029,X,,,,,,,,,,,,0,0,,,,,0,0,,
KG4N1,KCSUKN,18-19,13.5,1.7G,2031,X,,,,,,,,,,,,0,0,,,,,0,0,*No vasculature *glands,
KG4N1,KCSUKN,18-19,13.5,3.7C,2093,X,,,,,,,,,,,,0,0,,,,,0,0,*No vasculature *glands,
KG4N1,KCSUKN,18-19,13.5,3.7C,2094,X,,,,,,,,,,,,0,0,,,,,0,0,*No vasculature *glands,
KG4N1,KCSUKN,18-19,13.5,3.7C,2095,X,,,,,,,,,,,,0,0,,,,,0,0,*No vasculature *glands,
KG5H16,PT-B5,18-19,13.5,1.8A,2193,X,,,,,,,,,,,,0,0,,,,,0,0,*No vasculature *glands,
KG5H16,PT-B5,18-19,13.5,2.8A,2198,X,,,,,,,,,,,,0,0,,,,,0,0,*No vasculature *glands,
KG5H16,PT-B5,18-19,13.5,2.8A,2200,X,,,,,,,,,,,,0,0,,,,,0,0,*No vasculature *glands,
KG5H16,PT-B5,18-19,13.5,2.8A,2201,X,,,,,,,,,,,,0,0,,,,,0,0,*No vasculature *glands,
