Process,Pair_ID,Female_ID,Implantation_Site ,Slide,Day_of_Gestation,Stain,Observer,Decidua_area,Junctional_area,Labyrinth_area,Whole Placenta,#off,Order
2029,K-CSUK-N,K-G4-N1,1.7,G,13.5,ZO1/Cyto,KJ,2.486,0.865,0.998,4.349,1,4
2031,K-CSUK-N,K-G4-N1,1.7,G,13.5,ZO1/Cyto,KJ,3.289,1.085,0.93,5.304,0,2
1544,K-CSUK-N,K-G4-N1,1.7,B,13.5,Perforin / Cytokeratin,KJ,3.301,0.91,1.367,5.578,0,3
1543,K-CSUK-N,K-G4-N1,3.7,B,13.5,Perforin / Cytokeratin,KJ,3.873,0.926,0.82,5.619,0,1
1545,K-CSUK-N,K-G4-N1,1.7,B,13.5,Perforin / Cytokeratin,KJ,3.411,1.236,1.225,5.872,0,5
2094,K-CSUK-N,K-G4-N1,3.7,C,13.5,ZO1/Cyto,KJ,4.296,0.955,0.709,5.96,0,6
2095,K-CSUK-N,K-G4-N1,3.7,C,13.5,ZO1/Cyto,KJ,4.453,0.954,0.562,5.969,0,7
2093,K-CSUK-N,K-G4-N1,3.7,C,13.5,ZO1/Cyto,KJ,4.368,0.995,0.689,6.052,0,8
1541,K-CSUK-N,K-G4-N1,3.7,B,13.5,Perforin / Cytokeratin,KJ,4.681,0.976,0.797,6.454,0,9
1546,K-CSUK-N,K-G4-N1,1.7,B,13.5,Perforin / Cytokeratin,KJ,3.897,1.482,1.218,6.597,0,10
1542,K-CSUK-N,K-G4-N1,3.7,B,13.5,Perforin / Cytokeratin,KJ,4.82,0.989,0.871,6.68,0,11
2030,K-CSUK-N,K-G4-N1,1.7,G,13.5,ZO1/Cyto,KJ,3.928,1.606,1.19,6.724,0,12
2201,PT-B5,K-G5-H16,2.8,A,14,ZO1/Cyto,KJ,4.743,1.486,1.41,7.639,0,13
2193,PT-B5,K-G5-H16,1.8,A,14,ZO1/Cyto,KJ,5.269,1.978,1.978,9.225,2,14
2198,PT-B5,K-G5-H16,2.8,A,14,ZO1/Cyto,KJ,6.276,1.689,1.689,9.654,2,15
2200,PT-B5,K-G5-H16,2.8,A,14,ZO1/Cyto,KJ,6.606,2.327,0.815,9.748,2,16
1519,K-CSUK-C,K-G4-C1,1.5,C,14.5,Perforin / Cytokeratin,KJ,3.234,2.013,2.031,7.278,1,17
2023,K-CSUK-C,K-G4-C1,3.5,C,14.5,ZO1/Cyto,KJ,4.574,0.956,2.416,7.946,0,18
1521,K-CSUK-C,K-G4-C1,1.5,C,14.5,Perforin / Cytokeratin,KJ,4.337,2.063,1.974,8.374,0,19
2191,K-CSUK-C,K-G4-C1,1.5,C,14.5,Perforin / Cytokeratin,KJ,4.794,2.573,2.552,9.919,1,20
2090,K-CSUK-C,K-G4-C1,4.5,A,14.5,ZO1/Cyto,KJ,6.056,1.729,2.166,9.951,0,21
2091,K-CSUK-C,K-G4-C1,4.5,A,14.5,ZO1/Cyto,KJ,6.037,1.839,2.098,9.974,0,22
